ID;LANGUAGE_ID;ACRONYM;LABEL
EPP;EN;EPP;Group of the European People's Party (Christian Democrats)
EPP;ES;PPE;Grupo del Partido Popular Europeo (Demócrata-Cristianos)
EPP;BG;ЕНП;Група на Европейската народна партия (Християндемократи)
EPP;CS;ELS;Poslanecký klub Evropské lidové strany (Křesťanských demokratů)
EPP;DA;EPP;Det Europæiske Folkepartis Gruppe (Kristelige Demokrater)
EPP;DE;EVP;Fraktion der Europäischen Volkspartei (Christdemokraten)
EPP;EL;ΕΛΚ;Κoιvoβoυλευτική Ομάδα τoυ Ευρωπαϊκoύ Λαϊκoύ Κόμματoς (Χριστιαvoδημoκράτες)
EPP;ET;ERP;Euroopa Rahvapartei (kristlike demokraatide) fraktsioon
EPP;FI;EPP;Euroopan kansanpuolueen ryhmä (kristillisdemokraatit)
EPP;FR;PPE;Groupe du Parti populaire européen (Démocrates-Chrétiens)
EPP;GA;PPE;Grúpa Pháirtí an Phobail Eorpaigh (Na Daonlathaithe Críostaí)
EPP;HR;EPP;Klub zastupnika Europske pučke stranke (kršćanski demokrati)
EPP;HU;EPP;Európai Néppárt (Kereszténydemokraták) képviselőcsoport
EPP;IT;PPE;Gruppo del Partito popolare europeo (Democratici cristiani)
EPP;LV;ETP;Eiropas Tautas partijas (Kristīgie demokrāti) grupa
EPP;LT;ELP;Europos liaudies partijos (krikščionių demokratų) frakcija
EPP;MT;PPE;Grupp tal-Partit Popolari Ewropew (Demokristjani)
EPP;NL;EVP;Fractie van de Europese Volkspartij (christendemocraten)
EPP;PL;EPL;Grupa Europejskiej Partii Ludowej (Chrześcijańscy Demokraci)
EPP;PT;PPE;Grupo do Partido Popular Europeu (Democratas-Cristãos)
EPP;RO;PPE;Grupul Partidului Popular European (Creștin Democrat)
EPP;SK;EĽS;Poslanecký klub Európskej ľudovej strany (Kresťanských demokratov)
EPP;SL;ELS;Poslanska skupina Evropske ljudske stranke (Krščanskih demokratov)
EPP;SV;EPP;Group of the European People's Party (Christian Democrats)
SD;EN;S&D;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament
SD;ES;S&D;Grupo de la Alianza Progresista de Socialistas y Demócratas en el Parlamento Europeo
SD;BG;S&D;Група на Прогресивния алианс на социалистите и демократите в Европейския парламент
SD;CS;S&D;Skupina progresivní aliance socialistů a demokratů v Evropském parlamentu
SD;DA;S&D;Gruppen for Det Progressive Forbund af Socialdemokrater i Europa-Parlamentet
SD;DE;S&D;Fraktion der Progressiven Allianz der Sozialdemokraten im Europäischen Parlament
SD;EL;S&D;Ομάδα της Προοδευτικής Συμμαχίας των Σοσιαλιστών και Δημοκρατών στο Ευρωπαϊκό Κοινοβούλιο
SD;ET;S&D;Sotsiaaldemokraatide ja demokraatide fraktsioon Euroopa Parlamendis
SD;FI;S&D;Euroopan parlamentin sosialistien ja demokraattien ryhmä
SD;FR;S&D;Groupe de l'Alliance Progressiste des Socialistes et Démocrates au Parlement européen
SD;GA;S&D;An Grúpa d'Aontas Forchéimnitheach na Sóisialaithe agus na nDaonlathaithe i bParlaimint na hEorpa
SD;HR;S&D;Klub zastupnika Progresivnog saveza socijalista i demokrata u Europskom parlamentu
SD;HU;S&D;Szocialisták és Demokraták Progresszív Szövetsége az Európai Parlamentben képviselőcsoport
SD;IT;S&D;Gruppo dell'Alleanza progressista di Socialisti e Democratici al Parlamento Europeo
SD;LV;S&D;Eiropas Parlamenta sociālistu un demokrātu progresīvās alianses grupa
SD;LT;S&D;Europos Parlamento socialistų ir demokratų pažangiojo aljanso frakcija
SD;MT;S&D;Grupp tal-Alleanza Progressiva tas-Soċjalisti u d-Demokratiċi fil-Parlament Ewropew
SD;NL;S&D;Fractie van de Progressieve Alliantie van Socialisten en Democraten in het Europees Parlement
SD;PL;S&D;Grupa Postępowego Sojuszu Socjalistów i Demokratów w Parlamencie Europejskim
SD;PT;S&D;Grupo da Aliança Progressista dos Socialistas e Democratas no Parlamento Europeu
SD;RO;S&D;Grupul Alianței Progresiste a Socialiștilor si Democraților din Parlamentul European
SD;SK;S&D;Skupina progresívnej aliancie socialistov a demokratov v Európskom parlamente
SD;SL;S&D;Skupina naprednega zavezništva socialistov in demokratov v Evropskem parlamentu
SD;SV;S&D;Gruppen Progressiva förbundet av Socialdemokrater i Europaparlamentet
ECR;EN;ECR;European Conservatives and Reformists Group
ECR;ES;CRE;Grupo de los Conservadores y Reformistas Europeos
ECR;BG;ЕКР;Европейски консерватори и реформисти
ECR;CS;ECR;Skupina Evropských konzervativců a reformistů
ECR;DA;EKR;De Europæiske Konservative og Reformister
ECR;DE;EKR;Fraktion der Europäischen Konservativen und Reformer
ECR;EL;ΕΣΜ;Ομάδα των Ευρωπαίων Συντηρητικών και Μεταρρυθμιστών
ECR;ET;ECR;Euroopa Konservatiivide ja Reformistide fraktsioon
ECR;FI;EKR;Euroopan konservatiivit ja reformistit
ECR;FR;ECR;Groupe des Conservateurs et Réformistes européens
ECR;GA;ECR;An Grúpa do Choimeádaigh agus Leasaitheoirí na hEorpa
ECR;HR;ECR;Europski konzervativci i reformisti
ECR;HU;ECR;Európai Konzervatívok és Reformerek képviselőcsoport
ECR;IT;ECR;Gruppo dei Conservatori e Riformisti europei
ECR;LV;EKR;Eiropas Konservatīvo un reformistu grupa
ECR;LT;EKR;Europos konservatorių ir reformuotojų frakcija
ECR;MT;ECR;Grupp tal-Konservattivi u r-Riformisti Ewropej
ECR;NL;ECR;Fractie Europese Conservatieven en Hervormers
ECR;PL;EKR;Europejscy Konserwatyści i Reformatorzy
ECR;PT;ECR;Grupo dos Conservadores e Reformistas Europeus
ECR;RO;CRE;Grupul Conservatorilor și Reformiștilor Europeni
ECR;SK;EKR;Európski konzervatívci a reformisti
ECR;SL;ECR;Skupina Evropskih konservativcev in reformistov
ECR;SV;ECR;Gruppen Europeiska konservativa och reformister
ALDE;EN;Renew Europe;Renew Europe group
ALDE;ES;Renew Europe;Renew Europe group
ALDE;BG;Renew Europe;Renew Europe group
ALDE;CS;Renew Europe;Renew Europe group
ALDE;DA;Renew Europe;Renew Europe group
ALDE;DE;Renew Europe;Renew Europe group
ALDE;EL;Renew Europe;Renew Europe group
ALDE;ET;Renew Europe;Renew Europe group
ALDE;FI;Renew Europe;Renew Europe group
ALDE;FR;Renew Europe;Renew Europe group
ALDE;GA;Renew Europe;Renew Europe group
ALDE;HR;Renew Europe;Renew Europe group
ALDE;HU;Renew Europe;Renew Europe group
ALDE;IT;Renew Europe;Renew Europe group
ALDE;LV;Renew Europe;Renew Europe group
ALDE;LT;Renew Europe;Renew Europe group
ALDE;MT;Renew Europe;Renew Europe group
ALDE;NL;Renew Europe;Renew Europe group
ALDE;PL;Renew Europe;Renew Europe group
ALDE;PT;Renew Europe;Renew Europe group
ALDE;RO;Renew Europe;Renew Europe group
ALDE;SK;Renew Europe;Renew Europe group
ALDE;SL;Renew Europe;Renew Europe group
ALDE;SV;Renew Europe;Renew Europe group
GUENGL;EN;GUE/NGL;Confederal Group of the European United Left - Nordic Green Left
GUENGL;ES;GUE/NGL;Grupo Confederal de la Izquierda Unitaria Europea/Izquierda Verde Nórdica
GUENGL;BG;ЕОЛ/СЗЛ;Конфедеративна група на Европейската обединена левица - Северна зелена левица
GUENGL;CS;GUE/NGL;Skupina konfederace Evropské sjednocené levice a Severské zelené levice
GUENGL;DA;GUE/NGL;Den Europæiske Venstrefløjs Fællesgruppe/Nordisk Grønne Venstre
GUENGL;DE;GUE/NGL;Konföderale Fraktion der Vereinigten Europäischen Linken/Nordische Grüne Linke
GUENGL;EL;GUE/NGL;Συνομοσπονδιακή Ομάδα της Ευρωπαϊκής Ενωτικής Αριστεράς/Αριστερά των Πρασίνων των Βορείων Χωρών
GUENGL;ET;GUE/NGL;Euroopa Ühendatud Vasakpoolsete / Põhjamaade Roheliste Vasakpoolsete liitfraktsioon
GUENGL;FI;GUE/NGL;Euroopan yhtyneen vasemmiston konfederaatioryhmä/Pohjoismaiden vihreä vasemmisto
GUENGL;FR;GUE/NGL;Groupe confédéral de la Gauche unitaire européenne/Gauche verte nordique
GUENGL;GA;GUE/NGL;Grúpa Cónasctha den Chlé Aontaithe Eorpach - den Chlé Ghlas Nordach
GUENGL;HR;GUE/NGL;Konfederalni klub zastupnika Ujedinjene europske ljevice i Nordijske zelene ljevice
GUENGL;HU;GUE/NGL;Egységes Európai Baloldal/Északi Zöld Baloldal képviselőcsoport
GUENGL;IT;GUE/NGL;Gruppo confederale della Sinistra unitaria europea/Sinistra verde nordica
GUENGL;LV;GUE/NGL;Eiropas Apvienotā kreiso un Ziemeļvalstu Zaļo kreiso spēku konfederālā grupa
GUENGL;LT;GUE/NGL;Europos vieningųjų kairiųjų jungtinė frakcija/Šiaurės šalių žalieji kairieji
GUENGL;MT;GUE/NGL;Grupp Konfederali tax-Xellug Magħqud Ewropew - Xellug Aħdar Nordiku
GUENGL;NL;GUE/NGL;Confederale Fractie Europees Unitair Links/Noords Groen Links
GUENGL;PL;GUE/NGL;Konfederacyjna Grupa Zjednoczonej Lewicy Europejskiej / Nordycka Zielona Lewica
GUENGL;PT;GUE/NGL;Grupo Confederal da Esquerda Unitária Europeia/Esquerda Nórdica Verde
GUENGL;RO;GUE/NGL;Grupul Confederal al Stângii Unite Europene/Stânga Verde Nordică
GUENGL;SK;GUE/NGL;Konfederatívna skupina Európskej zjednotenej ľavice - Severskej zelenej ľavice
GUENGL;SL;GUE/NGL;Konfederalna skupina Evropske združene levice - Zelene nordijske levice
GUENGL;SV;GUE/NGL;Gruppen Europeiska enade vänstern/Nordisk grön vänster
GREENSEFA;EN;Greens/EFA;Group of the Greens/European Free Alliance
GREENSEFA;ES;Verdes/ALE;Grupo de los Verdes/Alianza Libre Europea
GREENSEFA;BG;Зелените/ECA;Група на Зелените/Европейски свободен алианс
GREENSEFA;CS;Zelení/ESA;Skupina Zelených/Evropské svobodné aliance
GREENSEFA;DA;Grønne/EFA;Gruppen De Grønne/Den Europæiske Fri Alliance
GREENSEFA;DE;Grüne/EFA;Fraktion der Grünen / Freie Europäische Allianz
GREENSEFA;EL;Verts/ALE;Ομάδα τωv Πρασίvωv / Ευρωπαϊκή Ελεύθερη Συμμαχία
GREENSEFA;ET;Rohelised/EVF;Roheliste / Euroopa Vabaliidu fraktsioon
GREENSEFA;FI;Vihreät/EVA;Vihreät / Euroopan vapaa allianssi -ryhmä
GREENSEFA;FR;Verts/ALE;Groupe des Verts/Alliance libre européenne
GREENSEFA;GA;Na Glasaigh/SCE;An Grúpa Glas/Grúpa na Saor-Comhghuaillíochta Eorpaí
GREENSEFA;HR;Zeleni/ESS;Klub zastupnika Zelenih/Europskog slobodnog saveza
GREENSEFA;HU;Zöldek/ESS;Zöldek/Európai Szabad Szövetség képviselőcsoport
GREENSEFA;IT;Verdi/ALE;Gruppo dei Verdi/Alleanza libera europea
GREENSEFA;LV;Zaļie/EBA;Zaļo un Eiropas Brīvās apvienības grupa
GREENSEFA;LT;Žalieji/ELA;Žaliųjų frakcija/Europos laisvasis aljansas
GREENSEFA;MT;Ħodor/AĦE;Grupp tal-Ħodor/Alleanza Ħielsa Ewropea
GREENSEFA;NL;Groenen/EVA;Fractie De Groenen/Vrije Europese Alliantie
GREENSEFA;PL;Zieloni/WSE;Grupa Zielonych / Wolne Przymierze Europejskie
GREENSEFA;PT;Verdes/ALE;Grupo dos Verdes/Aliança Livre Europeia
GREENSEFA;RO;Verts/ALE;Grupul Verzilor/Alianța Liberă Europeană
GREENSEFA;SK;Zelení/ESA;Skupina zelených/Európska slobodná aliancia
GREENSEFA;SL;Zeleni/ESZ;Skupina Zelenih/Evropske svobodne zveze
GREENSEFA;SV;Gröna/EFA;Gruppen De gröna/Europeiska fria alliansen
ENF;EN;ID;Identity and Democracy
ENF;ES;ID;Identity and Democracy
ENF;BG;ID;Identity and Democracy
ENF;CS;ID;Identita a Demokracie
ENF;DA;ID;Identitet og Demokrati
ENF;DE;ID;Identität und Demokratie
ENF;EL;ID;Identity and Democracy
ENF;ET;ID;Identiteet ja Demokraatia
ENF;FI;ID;Identiteetti ja Demokratia
ENF;FR;ID;Identité et Démocratie
ENF;GA;ID;Identity and Democracy
ENF;HR;ID;Identity and Democracy
ENF;HU;ID;Identity and Democracy
ENF;IT;ID;Identità e Democrazia
ENF;LV;ID;Identity and Democracy
ENF;LT;ID;Identity and Democracy
ENF;MT;ID;Identity and Democracy
ENF;NL;ID;Identiteit en Democratie
ENF;PL;ID;Identity and Democracy
ENF;PT;ID;Identity and Democracy
ENF;RO;ID;Identity and Democracy
ENF;SK;ID;Identity and Democracy
ENF;SL;ID;Identity and Democracy
ENF;SV;ID;Identity and Democracy
NA;EN;NI;Non-attached Members
NA;ES;NI;No inscritos
NA;BG;NI;Независими членове
NA;CS;NI;Nezařazení poslanci
NA;DA;NI;Løsgængere
NA;DE;NI;Fraktionslos
NA;EL;NI;Μη Εγγεγραμμένοι
NA;ET;NI;Fraktsioonilise kuuluvuseta parlamendiliikmed
NA;FI;NI;Sitoutumattomat
NA;FR;NI;Non-inscrits
NA;GA;NI;Feisirí Neamhcheangailte
NA;HR;NI;Nezavisni zastupnici
NA;HU;NI;független képviselők
NA;IT;NI;Non iscritti
NA;LV;NI;Pie politiskajām grupām nepiederošie deputāti
NA;LT;NI;Nepriklausomi nariai
NA;MT;NI;Membri mhux affiljati
NA;NL;NI;Niet-fractiegebonden leden
NA;PL;NI;Niezrzeszeni
NA;PT;NI;Não Inscritos
NA;RO;NI;Deputați neafiliați
NA;SK;NI;Nezaradení poslanci
NA;SL;NI;Samostojni poslanci
NA;SV;NI;Grupplösa
